Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)
DarkAlchemy_Base	0.000488	0.000488	0.425293	0.586426	1	1	871	1201
DarkAlchemy_Line_Diagonal_20_Enabled	0.793945	0.036621	0.891602	0.069824	1626	75	1826	143
DarkAlchemy_Line_Diagonal_45_Long_Enabled	0.567383	0.221191	0.633789	0.287598	1162	453	1298	589
DarkAlchemy_Line_Diagonal_45_Short_Enabled	0.426270	0.338379	0.459473	0.371582	873	693	941	761
DarkAlchemy_Line_Diagonal_135_Long_Enabled	0.769531	0.221191	0.835938	0.287598	1576	453	1712	589
DarkAlchemy_Line_Diagonal_135_Short_Enabled	0.528809	0.338379	0.562012	0.371582	1083	693	1151	761
DarkAlchemy_Line_Diagonal_160_Enabled	0.892578	0.000488	0.990234	0.033691	1828	1	2028	69
DarkAlchemy_Line_Horizontal_Enabled	0.793945	0.034668	0.891602	0.035645	1626	71	1826	73
DarkAlchemy_Line_Vertical_Enabled	0.993164	0.000488	0.994141	0.033691	2034	1	2036	69
DarkAlchemy_Line_Diagonal_20	0.793945	0.000488	0.891602	0.033691	1626	1	1826	69
DarkAlchemy_Line_Diagonal_45_Long	0.702148	0.221191	0.768555	0.287598	1438	453	1574	589
DarkAlchemy_Line_Diagonal_45_Short	0.460449	0.338379	0.493652	0.371582	943	693	1011	761
DarkAlchemy_Line_Diagonal_135_Long	0.634766	0.221191	0.701172	0.287598	1300	453	1436	589
DarkAlchemy_Line_Diagonal_135_Short	0.494629	0.338379	0.527832	0.371582	1013	693	1081	761
DarkAlchemy_Line_Diagonal_160	0.892578	0.036621	0.990234	0.069824	1828	75	2028	143
DarkAlchemy_Line_Horizontal	0.892578	0.034668	0.990234	0.035645	1828	71	2028	73
DarkAlchemy_Line_Vertical	0.991211	0.000488	0.992188	0.033691	2030	1	2032	69
DarkAlchemy_Node_Embellishment_ABCDEFGH	0.780762	0.533691	0.812012	0.564941	1599	1093	1663	1157
DarkAlchemy_Node_Embellishment_08	0.748535	0.533691	0.779785	0.564941	1533	1093	1597	1157
DarkAlchemy_Node_Embellishment_16	0.716309	0.533691	0.747559	0.564941	1467	1093	1531	1157
DarkAlchemy_Node_Embellishment_27	0.932617	0.221191	0.979492	0.268066	1910	453	2006	549
DarkAlchemy_Node_Embellishment_28	0.889648	0.166504	0.936523	0.213379	1822	341	1918	437
DarkAlchemy_Node_Embellishment_29	0.937500	0.166504	0.984375	0.213379	1920	341	2016	437
DarkAlchemy_Node_Embellishment_30	0.836914	0.221191	0.883789	0.268066	1714	453	1810	549
DarkAlchemy_Recipes_Background	0.567383	0.000488	0.679688	0.220215	1162	1	1392	451
DarkAlchemy_Recipes_Background_Unlocked	0.680664	0.000488	0.792969	0.220215	1394	1	1624	451
DarkAlchemy_Recipes_Flourish_Node_30	0.426270	0.000488	0.566406	0.337402	873	1	1160	691
DarkAlchemy_Node_ABC_Disabled	0.684082	0.533691	0.715332	0.564941	1401	1093	1465	1157
DarkAlchemy_Node_DEF_Disabled	0.651855	0.533691	0.683105	0.564941	1335	1093	1399	1157
DarkAlchemy_Node_GH_Disabled	0.619629	0.533691	0.650879	0.564941	1269	1093	1333	1157
DarkAlchemy_Node_I_Disabled	0.587402	0.533691	0.618652	0.564941	1203	1093	1267	1157
DarkAlchemy_Node_J_Disabled	0.555176	0.533691	0.586426	0.564941	1137	1093	1201	1157
DarkAlchemy_Node_01_Pushed	0.522949	0.533691	0.554199	0.564941	1071	1093	1135	1157
DarkAlchemy_Node_01_Enabled	0.490723	0.533691	0.521973	0.564941	1005	1093	1069	1157
DarkAlchemy_Node_01_Disabled	0.458496	0.533691	0.489746	0.564941	939	1093	1003	1157
DarkAlchemy_Node_01_Mouseover	0.426270	0.533691	0.457520	0.564941	873	1093	937	1157
DarkAlchemy_Node_02_Pushed	0.941895	0.501465	0.973145	0.532715	1929	1027	1993	1091
DarkAlchemy_Node_02_Enabled	0.909668	0.501465	0.940918	0.532715	1863	1027	1927	1091
DarkAlchemy_Node_02_Disabled	0.812988	0.404785	0.844238	0.436035	1665	829	1729	893
DarkAlchemy_Node_02_Mouseover	0.619629	0.404785	0.650879	0.436035	1269	829	1333	893
DarkAlchemy_Node_03_Pushed	0.562988	0.338379	0.594238	0.369629	1153	693	1217	757
DarkAlchemy_Node_03_Enabled	0.595215	0.338379	0.626465	0.369629	1219	693	1283	757
DarkAlchemy_Node_03_Disabled	0.627441	0.338379	0.658691	0.369629	1285	693	1349	757
DarkAlchemy_Node_03_Mouseover	0.659668	0.338379	0.690918	0.369629	1351	693	1415	757
DarkAlchemy_Node_04_Pushed	0.691895	0.338379	0.723145	0.369629	1417	693	1481	757
DarkAlchemy_Node_04_Enabled	0.724121	0.338379	0.755371	0.369629	1483	693	1547	757
DarkAlchemy_Node_04_Disabled	0.756348	0.338379	0.787598	0.369629	1549	693	1613	757
DarkAlchemy_Node_04_Mouseover	0.788574	0.338379	0.819824	0.369629	1615	693	1679	757
DarkAlchemy_Node_05_Pushed	0.820801	0.338379	0.852051	0.369629	1681	693	1745	757
DarkAlchemy_Node_05_Enabled	0.853027	0.338379	0.884277	0.369629	1747	693	1811	757
DarkAlchemy_Node_05_Disabled	0.885254	0.338379	0.916504	0.369629	1813	693	1877	757
DarkAlchemy_Node_05_Mouseover	0.917480	0.338379	0.948730	0.369629	1879	693	1943	757
DarkAlchemy_Node_06_Pushed	0.949707	0.338379	0.980957	0.369629	1945	693	2009	757
DarkAlchemy_Node_06_Enabled	0.426270	0.372559	0.457520	0.403809	873	763	937	827
DarkAlchemy_Node_06_Disabled	0.458496	0.372559	0.489746	0.403809	939	763	1003	827
DarkAlchemy_Node_06_Mouseover	0.490723	0.372559	0.521973	0.403809	1005	763	1069	827
DarkAlchemy_Node_07_Pushed	0.522949	0.372559	0.554199	0.403809	1071	763	1135	827
DarkAlchemy_Node_07_Enabled	0.555176	0.372559	0.586426	0.403809	1137	763	1201	827
DarkAlchemy_Node_07_Disabled	0.587402	0.372559	0.618652	0.403809	1203	763	1267	827
DarkAlchemy_Node_07_Mouseover	0.619629	0.372559	0.650879	0.403809	1269	763	1333	827
DarkAlchemy_Node_08_Pushed	0.651855	0.372559	0.683105	0.403809	1335	763	1399	827
DarkAlchemy_Node_08_Enabled	0.684082	0.372559	0.715332	0.403809	1401	763	1465	827
DarkAlchemy_Node_08_Disabled	0.716309	0.372559	0.747559	0.403809	1467	763	1531	827
DarkAlchemy_Node_08_Mouseover	0.748535	0.372559	0.779785	0.403809	1533	763	1597	827
DarkAlchemy_Node_09_Pushed	0.780762	0.372559	0.812012	0.403809	1599	763	1663	827
DarkAlchemy_Node_09_Enabled	0.812988	0.372559	0.844238	0.403809	1665	763	1729	827
